#file,real_cat,pred_cat
###################./CNN/testDS/train/###################
###################./CNN/testDS/train/0###################
./CNN/testDS/train/0/1V-1tray-14step5s-GDStart.png,Fluid,Defective
./CNN/testDS/train/0/3V-1tray-26step5s.png,Fluid,Defective
###################./CNN/testDS/train/1###################
./CNN/testDS/train/1/4V-1tray-18step5s.png,Defective,Crystal
./CNN/testDS/train/1/4V-1tray-21step22.png,Defective,Crystal
./CNN/testDS/train/1/4V-1tray-9step22.png,Defective,Crystal
./CNN/testDS/train/1/4V-1tray-10step22.png,Defective,Crystal
./CNN/testDS/train/1/1V-1tray-1step5s-GDStart.png,Defective,Crystal
###################./CNN/testDS/train/2###################
###################./CNN/testDS/test/###################
###################./CNN/testDS/test/0###################
###################./CNN/testDS/test/1###################
./CNN/testDS/test/1/4V-1tray-16step5s.png,Defective,Crystal
./CNN/testDS/test/1/1V-1tray-2step5s-GDStart.png,Defective,Crystal
./CNN/testDS/test/1/4V-1tray-17step5s.png,Defective,Crystal
###################./CNN/testDS/test/2###################
