Time,C6_avg,psi6,V,S-2,S-1,S0
99.9999,2.35333,0.009000000000000001,2.0,0.0,0.0,0.0
104.9999,2.5,0.02893,2.0,0.0,0.0,0.0
119.9999,2.52667,0.01008,2.0,0.0,0.0,0.0
124.9999,2.6,0.08446000000000001,2.0,0.0,0.0,0.0
134.9999,2.73333,0.11075,2.0,0.0,0.0,0.0
144.9999,2.59333,0.03865,2.0,0.0,0.0,0.0
149.9999,2.63333,0.06433,2.0,0.0,0.0,0.0
154.9999,2.78,0.06887,2.0,0.0,0.0,0.0
159.9999,2.62,0.03888,2.0,0.0,0.0,0.0
164.9999,2.78667,0.05768,2.0,0.0,0.0,0.0
169.9999,2.81333,0.06234,2.0,0.0,0.0,0.0
179.9999,2.79333,0.07493999999999999,2.0,0.0,0.0,0.0
199.9999,2.65333,0.08819,2.0,0.0,0.0,0.0
204.9999,2.87333,0.12219,2.0,0.0,0.0,0.0
209.9999,3.0,0.0836,2.0,0.0,0.0,0.0
214.9999,2.90667,0.08317999999999999,2.0,0.0,0.0,0.0
234.9999,2.96,0.03772,2.0,0.0,0.0,0.0
244.9999,2.82667,0.01359,2.0,0.0,0.0,0.0
254.9999,2.92667,0.0114,2.0,0.0,0.0,0.0
259.9999,2.98,0.05252,2.0,0.0,0.0,0.0
269.9999,2.80667,0.06486,2.0,0.0,0.0,0.0
279.9999,2.91333,0.04799,2.0,0.0,0.0,0.0
294.9999,2.88,0.02941,2.0,0.0,0.0,0.0
299.9999,3.02,0.004070000000000001,2.0,0.0,0.0,0.0
304.9999,3.01333,0.07416,2.0,0.0,0.0,0.0
309.9999,3.1266700000000003,0.08736000000000001,2.0,0.0,0.0,0.0
314.9999,2.86667,0.08517000000000001,2.0,0.0,0.0,0.0
329.9999,2.84,0.00584,2.0,0.0,0.0,0.0
344.9999,2.84,0.02913,2.0,0.0,0.0,0.0
349.9999,2.82667,0.06331,2.0,0.0,0.0,0.0
364.9999,3.00667,0.15435,2.0,0.0,0.0,0.0
384.9999,3.04667,0.14593,2.0,0.0,0.0,0.0
404.9999,3.18667,0.14232999999999998,2.0,0.0,0.0,0.0
409.9999,3.22,0.09979,2.0,0.0,0.0,0.0
414.9999,3.18,0.14004,2.0,0.0,0.0,0.0
424.9999,3.1266700000000003,0.16818,2.0,0.0,0.0,0.0
429.9999,3.02,0.21254,2.0,0.0,0.0,0.0
444.9999,3.1266700000000003,0.22436,2.0,0.0,0.0,0.0
454.9999,3.41333,0.28241,2.0,0.0,0.0,0.0
459.9999,3.22667,0.2405,2.0,0.0,0.0,0.0
469.9999,3.06,0.2147,2.0,0.0,0.0,0.0
474.9999,3.26667,0.23283,2.0,0.0,0.0,0.0
479.9999,3.26,0.24274,2.0,0.0,0.0,0.0
484.9999,3.02667,0.21199,2.0,0.0,0.0,0.0
494.9999,2.9,0.14733,2.0,0.0,0.0,0.0
504.9999,3.16667,0.18419,2.0,0.0,0.0,0.0
514.9999,3.22,0.15687,2.0,0.0,0.0,0.0
524.9999,3.1266700000000003,0.13996,2.0,0.0,0.0,0.0
539.9999,3.29333,0.12218,2.0,0.0,0.0,0.0
544.9999,3.18,0.14182999999999998,2.0,0.0,0.0,0.0
554.9999,3.24667,0.17644,2.0,0.0,0.0,0.0
564.9999,3.14667,0.1157,2.0,0.0,0.0,0.0
574.9999,3.19333,0.0737,2.0,0.0,0.0,0.0
584.9999,3.06,0.06186000000000001,2.0,0.0,0.0,0.0
589.9999,3.33333,0.04287,2.0,0.0,0.0,0.0
594.9999,3.14,0.0843,2.0,0.0,0.0,0.0
604.9999,2.94667,0.05359,2.0,0.0,0.0,0.0
609.9999,3.06667,0.14212,2.0,0.0,0.0,0.0
614.9999,3.1266700000000003,0.098,2.0,0.0,0.0,0.0
619.9999,3.07333,0.12636,2.0,0.0,0.0,0.0
634.9999,3.00667,0.0518,2.0,0.0,0.0,0.0
644.9999,3.08667,0.03064,2.0,0.0,0.0,0.0
649.9999,3.18667,0.07927999999999999,2.0,0.0,0.0,0.0
664.9999,3.4733300000000003,0.04967,2.0,0.0,0.0,0.0
669.9999,3.36667,0.06042,2.0,0.0,0.0,0.0
674.9999,3.28,0.05662,2.0,0.0,0.0,0.0
689.9999,3.16667,0.08616,2.0,0.0,0.0,0.0
704.9999,3.43333,0.14152,2.0,0.0,0.0,0.0
709.9999,3.44667,0.1503,2.0,0.0,0.0,0.0
729.9999,3.11333,0.10811,2.0,0.0,0.0,0.0
739.9999,3.13333,0.13646,2.0,0.0,0.0,0.0
749.9999,3.22667,0.16856,2.0,0.0,0.0,0.0
759.9999,3.3,0.11658,2.0,0.0,0.0,0.0
764.9999,3.33333,0.07497999999999999,2.0,0.0,0.0,0.0
