Time,C6_avg,psi6,V,S-4,S-3,S-2,S-1,S0
299.9999,3.02,0.004070000000000001,2.0,0.0,0.0,0.0,0.0,0.0
304.9999,3.01333,0.07416,2.0,0.0,0.0,0.0,0.0,0.0
309.9999,3.1266700000000003,0.08736000000000001,2.0,0.0,0.0,0.0,0.0,0.0
314.9999,2.86667,0.08517000000000001,2.0,0.0,0.0,0.0,0.0,0.0
319.9999,2.86,0.04339,2.0,0.0,0.0,0.0,0.0,0.0
324.9999,2.79333,0.05236,2.0,0.0,0.0,0.0,0.0,0.0
329.9999,2.84,0.00584,2.0,0.0,0.0,0.0,0.0,0.0
334.9999,2.85333,0.08347,2.0,0.0,0.0,0.0,0.0,0.0
339.9999,3.05333,0.026560000000000004,2.0,0.0,0.0,0.0,0.0,0.0
344.9999,2.84,0.02913,2.0,0.0,0.0,0.0,0.0,0.0
349.9999,2.82667,0.06331,2.0,0.0,0.0,0.0,0.0,0.0
354.9999,2.86,0.09391,2.0,0.0,0.0,0.0,0.0,0.0
359.9999,2.95333,0.21698,2.0,0.0,0.0,0.0,0.0,0.0
364.9999,3.00667,0.15435,2.0,0.0,0.0,0.0,0.0,0.0
369.9999,3.13333,0.15578,2.0,0.0,0.0,0.0,0.0,0.0
374.9999,3.00667,0.13883,2.0,0.0,0.0,0.0,0.0,0.0
379.9999,2.96,0.079,2.0,0.0,0.0,0.0,0.0,0.0
384.9999,3.04667,0.14593,2.0,0.0,0.0,0.0,0.0,0.0
389.9999,3.03333,0.07064,2.0,0.0,0.0,0.0,0.0,0.0
394.9999,3.12,0.13928,2.0,0.0,0.0,0.0,0.0,0.0
399.9999,2.82,0.14829,2.0,0.0,0.0,0.0,0.0,0.0
404.9999,3.18667,0.14232999999999998,2.0,0.0,0.0,0.0,0.0,0.0
409.9999,3.22,0.09979,2.0,0.0,0.0,0.0,0.0,0.0
414.9999,3.18,0.14004,2.0,0.0,0.0,0.0,0.0,0.0
419.9999,3.01333,0.0729,2.0,0.0,0.0,0.0,0.0,0.0
424.9999,3.1266700000000003,0.16818,2.0,0.0,0.0,0.0,0.0,0.0
429.9999,3.02,0.21254,2.0,0.0,0.0,0.0,0.0,0.0
434.9999,3.1066700000000003,0.14361,2.0,0.0,0.0,0.0,0.0,0.0
439.9999,3.02,0.17861,2.0,0.0,0.0,0.0,0.0,0.0
444.9999,3.1266700000000003,0.22436,2.0,0.0,0.0,0.0,0.0,0.0
449.9999,3.18,0.2065,2.0,0.0,0.0,0.0,0.0,0.0
454.9999,3.41333,0.28241,2.0,0.0,0.0,0.0,0.0,0.0
459.9999,3.22667,0.2405,2.0,0.0,0.0,0.0,0.0,0.0
464.9999,3.20667,0.27083,2.0,0.0,0.0,0.0,0.0,0.0
469.9999,3.06,0.2147,2.0,0.0,0.0,0.0,0.0,0.0
474.9999,3.26667,0.23283,2.0,0.0,0.0,0.0,0.0,0.0
479.9999,3.26,0.24274,2.0,0.0,0.0,0.0,0.0,0.0
484.9999,3.02667,0.21199,2.0,0.0,0.0,0.0,0.0,0.0
489.9999,3.12,0.19195,2.0,0.0,0.0,0.0,0.0,0.0
494.9999,2.9,0.14733,2.0,0.0,0.0,0.0,0.0,0.0
499.9999,3.0,0.18307,2.0,0.0,0.0,0.0,0.0,0.0
504.9999,3.16667,0.18419,2.0,0.0,0.0,0.0,0.0,0.0
509.9999,3.23333,0.18869,2.0,0.0,0.0,0.0,0.0,0.0
514.9999,3.22,0.15687,2.0,0.0,0.0,0.0,0.0,0.0
