#time,cat_index,cat,V_level
0,0,Fluid,0
10,1,Defective,3
20,1,Defective,3
30,1,Defective,3
40,1,Defective,3
50,1,Defective,3
60,1,Defective,1
70,0,Fluid,2
80,0,Fluid,1
90,0,Fluid,2
100,0,Fluid,1
110,0,Fluid,2
120,0,Fluid,4
130,1,Defective,4
140,1,Defective,1
150,1,Defective,4
160,1,Defective,1
170,1,Defective,3
180,1,Defective,4
190,1,Defective,2
200,1,Defective,2
210,1,Defective,4
220,1,Defective,2
230,1,Defective,4
240,1,Defective,2
250,1,Defective,1
260,1,Defective,2
270,1,Defective,4
280,1,Defective,3
290,1,Defective,4
300,1,Defective,3
310,1,Defective,3
320,1,Defective,1
330,1,Defective,4
340,2,Crystal,4
350,2,Crystal,1
360,1,Defective,1
370,1,Defective,2
380,0,Fluid,1
390,0,Fluid,2
400,0,Fluid,2
410,0,Fluid,1
420,0,Fluid,4
430,1,Defective,4
440,1,Defective,3
450,1,Defective,1
460,1,Defective,3
470,1,Defective,2
480,1,Defective,4
490,2,Crystal,1
500,1,Defective,3
510,1,Defective,2
520,1,Defective,1
530,1,Defective,3
540,1,Defective,1
550,0,Fluid,1
560,0,Fluid,3
570,0,Fluid,1
580,0,Fluid,3
590,0,Fluid,1
600,0,Fluid,4
610,2,Crystal,3
620,1,Defective,3
630,1,Defective,1
640,1,Defective,1
650,1,Defective,4
660,2,Crystal,1
670,1,Defective,1
680,1,Defective,3
690,1,Defective,4
700,2,Crystal,3
710,1,Defective,4
720,2,Crystal,4
730,2,Crystal,2
740,1,Defective,1
750,1,Defective,3
760,1,Defective,3
770,1,Defective,2
780,1,Defective,2
790,0,Fluid,3
800,0,Fluid,1
810,0,Fluid,2
820,0,Fluid,1
830,0,Fluid,1
840,0,Fluid,3
850,0,Fluid,4
860,1,Defective,3
870,1,Defective,3
880,1,Defective,4
890,1,Defective,1
900,1,Defective,1
910,1,Defective,2
920,1,Defective,2
930,1,Defective,1
940,1,Defective,2
950,1,Defective,3
960,1,Defective,2
970,0,Fluid,4
980,1,Defective,1
990,1,Defective,3
